YEAR1,YEAR2,hv1_size,hv2_size,size_ratio,jaccard,sorensen,uniq_y1,uniq_y2,dist_cent
2016,2018,0.39442006102300714,1632.490301140705,2.4160637324914308e-4,0,0,0,1,3.3695689537142797
2016,2018,0.39442006102300714,126.62157379523839,0.0031149514983981295,0.0017775992267810682,0.0035488899495319175,0.4285714285714286,0.9982200277152011,3.6560276580271434
2016,2018,0.39442006102300714,178.25695949408947,0.0022126488757712994,0,0,1,1,3.7355788836490853
2016,2018,0.39442006102300714,599.7830165388261,6.576045839028436e-4,0,0,1,1,3.7060317826554514
2016,2018,0.39442006102300714,182.43124268413095,0.0021620203602182465,0,0,1,1,3.6638668689720473
2016,2018,0.39442006102300714,58.178382232676945,0.006779495164468048,0,0,1,1,3.761179273398808
2016,2018,5573.214230325187,1632.490301140705,3.4139340530420883,0.2767214882445101,0.43348763343053254,0.7197681916165496,0.043307086614173214,0.9735977230682104
2016,2018,5573.214230325187,126.62157379523839,44.01472879604003,0.01801546954585358,0.0353933119580009,0.9819012818826411,0.20338983050847456,1.8600033407247267
2016,2018,5573.214230325187,178.25695949408947,31.265058296419443,0.027234370692577982,0.05302464845333423,0.9726396900131495,0.144578313253012,1.4763128239144536
2016,2018,5573.214230325187,599.7830165388261,9.292050752764874,0.08062174860225062,0.1492136331820681,0.9173640821291612,0.23214285714285712,1.676975096518658
2016,2018,5573.214230325187,182.43124268413095,30.549669828072606,0.02680224071773159,0.05220526339910772,0.973042935769867,0.17647058823529407,1.4497470779791495
2016,2018,5573.214230325187,58.178382232676945,95.79527680979224,0.00499909156149673,0.009948449910993439,0.9949738494681998,0.5185185185185186,1.784927890779166
2016,2018,740.2192991952788,1632.490301140705,0.4534295233962796,0.31359675442092255,0.47746274245198866,0.23476702508960576,0.6530207768992629,1.0567389114754506
2016,2018,740.2192991952788,126.62157379523839,5.845917697976953,0.045618719532514326,0.0872568914085815,0.9489084923851063,0.7013232514177694,2.067104384378394
2016,2018,740.2192991952788,178.25695949408947,4.1525408112877775,0.16018652218215343,0.27613925712714593,0.8286809381766116,0.28859060402684567,1.40263575714551
2016,2018,740.2192991952788,599.7830165388261,1.234145147134825,0.3483387924352532,0.5166932738115674,0.5323209053151959,0.4228161148783407,1.6233112913096774
2016,2018,740.2192991952788,182.43124268413095,4.0575248422603,0.14839828502161048,0.2584439335327254,0.8389305469482845,0.3464566929133859,1.3609073776815785
2016,2018,740.2192991952788,58.178382232676945,12.723270582445334,0.051722701013267015,0.09835805762000864,0.9469556891863372,0.3251028806584362,1.7237841057391379
2016,2018,148.5869326452232,1632.490301140705,0.09101856993661638,0.04951069912340491,0.09435006077548005,0.4345238095238095,0.9485311658096515,0.8024360169540382
2016,2018,148.5869326452232,126.62157379523839,1.173472483334517,0.032413566043068116,0.06279182511578107,0.9418493803622499,0.9317618479662483,1.747986157501305
2016,2018,148.5869326452232,178.25695949408947,0.8335547350685623,0.2493278640251272,0.3991392030941088,0.5610104861773118,0.6340782121076521,1.0515466500750645
2016,2018,148.5869326452232,599.7830165388261,0.24773447821626443,0.12473099689720263,0.2217970292297416,0.4414507772020725,0.8616280997320555,1.2200232352618483
2016,2018,148.5869326452232,182.43124268413095,0.8144818313960224,0.2642775585152262,0.4180688911786033,0.5343183984747378,0.6207107963422718,0.9792776243218912
2016,2018,148.5869326452232,58.178382232676945,2.5539887316042735,0.12483335502786352,0.22195884300527566,0.8455672068636797,0.6055803865396642,1.3303794998739675
2016,2018,59.19700918040334,1632.490301140705,0.036261783080144085,0.026466648619292696,0.05156845311027527,0.2631578947368422,0.9732807914146308,1.628264335051592
2016,2018,59.19700918040334,126.62157379523839,0.46751124161615376,0.03176060756820804,0.06156584644778348,0.9033728350045579,0.9548257141191319,1.3621236505688674
2016,2018,59.19700918040334,178.25695949408947,0.332088067407916,0.188100554885114,0.3166407996557208,0.36493738819320215,0.7891032845620568,1.6318550855056422
2016,2018,59.19700918040334,599.7830165388261,0.09869737479732607,0.06848834001170653,0.1281967007912434,0.2864583333333333,0.9295753106914912,1.760395883160239
2016,2018,59.19700918040334,182.43124268413095,0.3244894257662845,0.1795839480573426,0.30448693092695855,0.37857802400738694,0.7983551398516072,1.5625162183853922
2016,2018,59.19700918040334,58.178382232676945,1.0175086846460002,0.12712904344360623,0.2255802814825912,0.7763605442176871,0.7724449115119915,1.8201476397006038
2016,2018,10.265912821854172,1632.490301140705,0.006288498507268834,0.0024513336371550674,0.004890678589375485,0.6086956521739131,0.9975392831928078,0.9357541554242209
2016,2018,10.265912821854172,126.62157379523839,0.08107554277010749,0.014008442004858443,0.027629833095198873,0.8157894736842106,0.9850650315949802,1.1839676332746594
2016,2018,10.265912821854172,178.25695949408947,0.057590530271523915,0.028582899909508512,0.05557724109942552,0.4896907216494846,0.9706110180573151,1.1253347090229686
2016,2018,10.265912821854172,599.7830165388261,0.017116044534064633,0.012913119428301449,0.025496993139134668,0.24242424242424246,0.9870332995954055,0.42805494784151105
2016,2018,10.265912821854172,182.43124268413095,0.056272778011105265,0.0329596068935285,0.06381586786854053,0.4010695187165776,0.9662965179826535,0.6056105184757902
2016,2018,10.265912821854172,58.178382232676945,0.17645579728905106,0.12784164248233043,0.22670140499681593,0.24427480916030533,0.8666479089189614,0.6613006356396502
2016,2021,0.39442006102300714,107.23918759789483,0.003677947118565731,0.003677947118565731,0.007328938787834601,0,0.9963220528814343,2.842419877491754
2016,2021,0.39442006102300714,610.5487164369315,6.460091560339067e-4,0,0,1,1,3.6192639440428898
