YEAR1,YEAR2,site1,site2,hv1_size,hv2_size,size_ratio,jaccard,sorensen,uniq_y1,uniq_y2,dist_cent
2023,2016,Dakiti,Carlos Rosario,44.01027762859654,148.5869326452232,0.29619211356680086,0.11983144265841685,0.21401692807257447,0.5317109375451011,0.8612964728312679,1.481282319111899
2021,2018,Dakiti,Carlos Rosario,23.71007576001366,599.7830165388261,0.039531088920852796,0.039264314569998675,0.07556174886317442,0.006493506493506452,0.9607256064617502,0.8632720559371043
2023,2018,Dakiti,Carlos Rosario,44.01027762859654,599.7830165388261,0.07337699870624395,0.06844278803715666,0.12811689835614568,0.06293706293706296,0.9312411340794636,0.7242006266737142
2023,2021,Dakiti,Carlos Rosario,44.01027762859654,101.47290028688009,0.4337145928043099,0.29910288622940673,0.4604760552838747,0.23891050583657594,0.6699043799512724,0.6318870585025174
2018,2016,Palominos (2016),Carlos Rosario,58.178382232676945,148.5869326452232,0.3915444056684838,0.1291839668496386,0.22880942457951256,0.5934069416797773,0.8408007626310772,1.3303794998739675
2021,2016,Palominos (2016),Carlos Rosario,58.171338167689434,148.5869326452232,0.39149699863973564,0.12613985376461814,0.22402164943002445,0.6018801499177535,0.8441372735938989,1.307552719592111
2023,2016,Palominos (2016),Carlos Rosario,51.57407780909163,148.5869326452232,0.3470969949439201,0.12903434594449478,0.22857470440644742,0.5564463220491594,0.8460438512869399,1.361219031063322
2021,2018,Palominos (2016),Carlos Rosario,58.171338167689434,599.7830165388261,0.0969873046812485,0.08777693890830805,0.16138775472920194,0.0873015873015873,0.9114798409655271,0.3585934526326867
2023,2018,Palominos (2016),Carlos Rosario,51.57407780909163,599.7830165388261,0.0859878929328654,0.08044133330964914,0.1489045833950802,0.05970149253731343,0.9191457126153654,0.46209930230152874
2023,2021,Palominos (2016),Carlos Rosario,51.57407780909163,101.47290028688009,0.508254693255869,0.26443088916780433,0.4182607233549027,0.3794019933554818,0.6845781504976867,0.5332942898280028
2018,2016,Dakiti,Dakiti,182.43124268413095,59.19700918040334,3.0817645217205203,0.17895476127989338,0.3035820663476808,0.7989543816351091,0.3804247460757157,1.5625162183853922
2021,2016,Dakiti,Dakiti,23.71007576001366,59.19700918040334,0.40052827141582475,0.15578715085023417,0.2695775787706796,0.5286836818365397,0.8112244897959183,0.9883082268467461
2023,2016,Dakiti,Dakiti,44.01027762859654,59.19700918040334,0.7434544115983103,0.1822058264921113,0.30824721450199544,0.6385689844579462,0.7312925170068026,1.0842023549743545
2021,2018,Dakiti,Dakiti,23.71007576001366,182.43124268413095,0.1299671887948835,0.118246594738623,0.21148572290758777,0.0806451612903226,0.8805140361079297,0.67483686927923
2023,2018,Dakiti,Dakiti,44.01027762859654,182.43124268413095,0.24124309510294664,0.21005683954866583,0.3471850787224409,0.10683229813664602,0.7845294591564985,0.6531968042058034
2023,2021,Dakiti,Dakiti,44.01027762859654,23.71007576001366,1.8561846058214024,0.49300256705547496,0.6604175745361015,0.4918946898147548,0.056862745098039284,0.4631922165649294
2018,2016,Palominos (2016),Dakiti,58.178382232676945,59.19700918040334,0.9827925943923599,0.13370517367675883,0.23587291790004786,0.7620621698319302,0.766156462585034,1.8201476397006038
2021,2016,Palominos (2016),Dakiti,58.171338167689434,59.19700918040334,0.9826736007964834,0.13703144936546965,0.24103370129637355,0.7568413580688229,0.7610544217687075,1.773303665476695
2023,2016,Palominos (2016),Dakiti,51.57407780909163,59.19700918040334,0.8712277617255836,0.1511851149174154,0.262659954438798,0.7179287551248478,0.7542517006802721,1.3649585319912443
2021,2018,Palominos (2016),Dakiti,58.171338167689434,182.43124268413095,0.318867192438138,0.2025690507764404,0.33689383681652446,0.3032863849765258,0.7778408856440391,0.49996008990563434
2023,2018,Palominos (2016),Dakiti,51.57407780909163,182.43124268413095,0.28270419611397996,0.18839240317244488,0.3170542030890241,0.2807203389830509,0.7966566216510674,0.44707473817233734
2023,2021,Palominos (2016),Dakiti,51.57407780909163,23.71007576001366,2.175196668754209,0.3459256857189959,0.514033856979558,0.6248250528897809,0.18392070484581508,0.46211305332611685
2018,2016,Palominos (2016),Palominos (2016),58.178382232676945,10.265912821854172,5.667141660196671,0.13173883714364995,0.23280784014824532,0.863055933401627,0.2239185750636132,0.6613006356396502
2021,2016,Palominos (2016),Palominos (2016),58.171338167689434,10.265912821854172,5.666455499588282,0.13656623859572134,0.240313734401358,0.8586381895663935,0.19897959183673466,0.5895293919491746
2023,2016,Palominos (2016),Palominos (2016),51.57407780909163,10.265912821854172,5.0238180183354215,0.1406984486041398,0.2466882439900062,0.8521040089793208,0.25699745547073793,0.4345041066624391
2021,2018,Palominos (2016),Palominos (2016),58.171338167689434,58.178382232676945,0.9998789229827784,0.7841110440058674,0.8789935431880985,0.12095323741007195,0.12105966977008464,0.08264389379760903
2023,2018,Palominos (2016),Palominos (2016),51.57407780909163,58.178382232676945,0.8864818138604773,0.7419785389214367,0.8518802296850799,0.0935761254425898,0.1964717195559052,0.5043310160402616
2023,2021,Palominos (2016),Palominos (2016),51.57407780909163,58.171338167689434,0.8865891594314023,0.7265985864140128,0.8416531695686043,0.10451547437848807,0.2060731271453957,0.4395284331856844
