YEAR,site,i,hv_size,corallite.diameter,growth.rate,skeletal.density,symbiodinium.density,colony.maximum.diameter
2016,Cayo Diablo (2016),1,0.4134347314695815,-0.5501864957281317,2.937707662400254,0.07539175569057621,0.14306054262090903,-0.7071810656087313
2016,Cayo Diablo (2016),2,0.40226954721768626,-0.5513331656657803,3.0096120109502458,0.07642548720823804,0.11706579144597001,-0.7006754204032362
2016,Cayo Diablo (2016),3,0.35286945570362405,-0.5532851090190415,3.465053491997483,0.06838374765712725,-0.01113251358588839,-0.6768624183510147
2016,Cayo Diablo (2016),4,0.4381187911611071,-0.54824758789459,2.7174371582001386,0.08263703458935258,0.19444660968590283,-0.750514421772428
2016,Cayo Diablo (2016),5,0.4841103735892179,-0.5457082031481236,2.388580336575234,0.0855189183706486,0.27589387819595473,-0.7805784438274882
2016,Cayo Diablo (2016),6,0.4868625573701715,-0.5386867989175115,1.4708446260930774,0.10137162989397623,0.46434294434007717,-0.8397905515788191
2016,Cayo Diablo (2016),7,0.47278187341776634,-0.5462691925225125,2.3611403481375497,0.08611778548783112,0.2599270570630774,-0.7710816060046233
2016,Cayo Diablo (2016),8,0.4078900379093264,-0.550936371692969,3.0110620422793155,0.0751680128427878,0.07566962220475112,-0.7292068210762589
2016,Cayo Diablo (2016),9,0.4643875488701378,-0.5454934403565772,2.2719327944620837,0.08862232259528834,0.2900497053545756,-0.7831769136930519
2016,Cayo Diablo (2016),10,0.444967212876192,-0.5340335343418426,1.0964131953150418,0.10742022357338488,0.61482481009307,-0.8935052949392829
2016,Cayo Diablo (2016),11,0.4756978104935295,-0.545126553384923,2.2164169457571106,0.08754963947547253,0.3011161001708379,-0.7922817982949022
2016,Cayo Diablo (2016),12,0.46442481324171303,-0.5455473703350382,2.3789395783775675,0.087303947475798,0.2366303492163095,-0.7695883162818452
2016,Cayo Diablo (2016),13,0.47353306541519,-0.5414448079011166,1.6319082018792017,0.09639418938934725,0.4061517499429328,-0.8153968449215844
2016,Cayo Diablo (2016),14,0.4518823343173947,-0.5455371950919039,2.4323191541686118,0.08580708851783445,0.2588650827348042,-0.7714215980448371
2016,Cayo Diablo (2016),15,0.3022193019783033,-0.5563010241283298,3.857687505126225,0.06594125984687013,-0.04970682159283472,-0.66713640564707
2016,Cayo Diablo (2016),16,0.27675960101269853,-0.5562730671139986,3.961391538193593,0.06380974575007062,-0.10025099080784856,-0.6355871412843435
2016,Cayo Diablo (2016),17,0.4593223935375247,-0.547132976209019,2.5295791858179926,0.08359683821912467,0.23457597817370862,-0.7616682709949462
2016,Cayo Diablo (2016),18,0.48714400834562527,-0.5432472416979022,2.1034035375736213,0.08959204998619959,0.32627208326569285,-0.800504346301675
2016,Cayo Diablo (2016),19,0.45278358976420163,-0.5468520242354996,2.5408271036735988,0.08379345193346166,0.21238348682657798,-0.7626032976935697
2016,Cayo Diablo (2016),20,0.47899828789193305,-0.5376237944189723,1.506455831832504,0.10044646493967108,0.5194056869478302,-0.8535201382792632
2016,Cayo Diablo (2016),21,0.48757989652299505,-0.544188645698444,2.072131483855424,0.08702354188071547,0.3055371188627008,-0.7837427611867244
2016,Cayo Diablo (2016),22,0.4669078800293539,-0.5373084722577007,1.198418296113174,0.10261541616530359,0.5178602124905494,-0.8664110749640588
2016,Cayo Diablo (2016),23,0.47352563003588516,-0.5453786786137653,2.279103418639598,0.08849982877950986,0.2803952146612628,-0.7841984102383897
2016,Cayo Diablo (2016),24,0.4609114653075621,-0.547241137163624,2.513330998982778,0.08242517937263202,0.20117379048503412,-0.7568875040340434
2016,Cayo Diablo (2016),25,0.4538697674680746,-0.5471333026495411,2.5644692849222,0.0829787093282172,0.19080358964865943,-0.7404054322087273
2016,Cayo Diablo (2016),26,0.43908740239691163,-0.5332161459360768,0.878627694868543,0.10996030309143853,0.6350144490404529,-0.9063472060209691
2016,Cayo Diablo (2016),27,0.46583596075873623,-0.5380961104674405,1.3364744554566734,0.10212000574051451,0.5029655054913489,-0.8599605587724626
2016,Cayo Diablo (2016),28,0.47609669672447585,-0.5448153055083802,2.287167071742516,0.0861922236599324,0.2617688375443164,-0.7813018220376496
2016,Cayo Diablo (2016),29,0.3918070500476314,-0.5517510431969498,3.3945181262176094,0.07361442366670956,0.055492221675489464,-0.7043465702686242
2016,Cayo Diablo (2016),30,0.47993431467137193,-0.544205981439965,2.1935237758084947,0.09118901023291974,0.2769491943745454,-0.7918766425014759
2016,Cayo Diablo (2016),31,0.47779839262222024,-0.5394647882669686,1.4763658713095262,0.09825979087210585,0.45942266616545757,-0.8432623957434137
2016,Cayo Diablo (2016),32,0.3376066776543125,-0.5583079645279733,3.754300151550196,0.06534869113725734,-0.05485274797166839,-0.6699802117515665
2016,Cayo Diablo (2016),33,0.4813829889851224,-0.5425295461191423,1.7903005194895132,0.09201702369586384,0.3819684745915683,-0.8206629021215971
2016,Cayo Diablo (2016),34,0.40990948692854273,-0.5483687653735133,2.9482964295012857,0.08059249846725361,0.14639707895279414,-0.7391674783270045
2016,Cayo Diablo (2016),35,0.4826712340559879,-0.5447850701682889,2.1681567307901815,0.08848513865648128,0.28680337460070143,-0.8009783540723039
2016,Cayo Diablo (2016),36,0.4014567290470825,-0.5311570206689711,0.5363358791688608,0.11414011488590038,0.702126720488447,-0.9316311763065965
2016,Cayo Diablo (2016),37,0.47207468137081776,-0.5452394541783278,2.5816074078067266,0.08366664445803408,0.24137449092306515,-0.7880256969846616
