site,y1,y2,ychange,hv1_size,hv2_size,size_rat,jaccard,sorensen,uniq_y1,uniq_y2,dist_cent
Cayo Diablo (2016),2016,2018,2,0.39442006102300714,126.62157379523839,321.0322859005195,4.24933248831198e-4,8.495055145242092e-4,0.863215898636336,0.9995739241585002,3.6560276580271434
Cayo Diablo (2016),2016,2021,5,0.39442006102300714,107.23918759789483,271.8908042348267,0.0026243473102247348,0.0052349562770247155,0.28571428571428564,0.9973728949153102,2.842419877491754
Cayo Diablo (2016),2016,2023,7,0.39442006102300714,82.27763152954911,208.60407382967705,9.550912565467754e-4,0.001908359855281427,0.7999999999999999,0.9990412459530235,3.6363920833929777
Cayo Diablo (2016),2018,2021,3,126.62157379523839,107.23918759789483,0.8469266680519458,0.4068010215818172,0.5783348395985769,0.46592898084092194,0.3694011071967791,1.010328987333651
Cayo Diablo (2016),2018,2023,5,126.62157379523839,82.27763152954911,0.6497915723477066,0.5377483451497036,0.6993970721488274,0.42307030232210185,0.11213114754098363,0.14180925077144763
Cayo Diablo (2016),2021,2023,2,107.23918759789483,82.27763152954911,0.7672347522629337,0.49833423384136033,0.6651843394964739,0.4122315592903828,0.23391316806751328,0.9264512485228721
Palominitos (2016),2016,2018,2,5573.214230325187,178.25695949408947,0.03198458773110692,0.025660667997533367,0.05003734431511822,0.9741811159279016,0.19277108433734927,1.4763128239144536
Palominitos (2016),2016,2021,5,5573.214230325187,4.947899123983688,8.877999157220602e-4,8.877999157220602e-4,0.0017740248523297334,0.9991122000842779,0,1.8374966314322492
Palominitos (2016),2016,2023,7,5573.214230325187,4.220966674027412,7.573666648341144e-4,7.573666648341144e-4,0.0015135869893381775,0.9992426333351659,0,1.873313953561949
Palominitos (2016),2018,2021,3,178.25695949408947,4.947899123983688,0.027757116120606485,0.02622566102173947,0.05111090478019903,0.9737352019503938,0.05376344086021493,1.0075612076274045
Palominitos (2016),2018,2023,5,178.25695949408947,4.220966674027412,0.02367911292780335,0.02337237178908452,0.045677160012096804,0.9766206226788777,0.012658227848101306,0.7790716595492666
Palominitos (2016),2021,2023,2,4.947899123983688,4.220966674027412,0.8530826050125689,0.6889330587666165,0.8158204437892006,0.244108663400299,0.11392949269131562,0.5103116385075915
Canal Luis Pena,2016,2018,2,740.2192991952788,1632.490301140705,2.2054143993752238,0.3043367719290292,0.46665367177977346,0.2520908004778973,0.6608758881169999,1.0567389114754506
Canal Luis Pena,2016,2021,5,740.2192991952788,610.5487164369315,0.8248213969842217,0.5342386732184535,0.6964218573603712,0.36457724668065045,0.22962382445141064,1.1103967668365402
Canal Luis Pena,2016,2023,7,740.2192991952788,166.47826222943988,0.22490397428224967,0.15475282766170484,0.26802762280317366,0.8358459498054843,0.2701149425287356,1.9276262824294677
Canal Luis Pena,2018,2021,3,1632.490301140705,610.5487164369315,0.3739983729216092,0.33918173862470186,0.506550722492723,0.6520000657463666,0.0695148443157131,0.34369839991335216
Canal Luis Pena,2018,2023,5,1632.490301140705,166.47826222943988,0.1019781018687296,0.08202252468582108,0.15160964363405902,0.9164647463415725,0.18085106382978725,1.0585799579526631
Canal Luis Pena,2021,2023,2,610.5487164369315,166.47826222943988,0.27266990781830064,0.24865491523657773,0.3982764368319746,0.7465627819254248,0.07053469852104671,0.8764335874890743
Carlos Rosario,2016,2018,2,148.5869326452232,599.7830165388261,4.036579838221111,0.1310125101242604,0.2316729637408989,0.41658031088082903,0.855466827734967,1.2200232352618483
Carlos Rosario,2016,2021,5,148.5869326452232,101.47290028688009,0.6829194094016603,0.08081389582366175,0.14954266619985573,0.8741658722592947,0.8157408824403527,1.7227994587815034
Carlos Rosario,2016,2023,7,148.5869326452232,20.57823661651962,0.1384929095053984,0.07131457945783075,0.1331347128570238,0.9242135367016205,0.45277730413032247,1.6859957433622261
Carlos Rosario,2018,2021,3,599.7830165388261,101.47290028688009,0.16918268355187976,0.16321014896804983,0.28062022861964003,0.8359518440217737,0.030349013657056043,0.84545918572569
Carlos Rosario,2018,2023,5,599.7830165388261,20.57823661651962,0.0343094686729722,0.0340427208809528,0.06584393505898886,0.9659484972568998,0.0075187969924811774,0.6673114325474641
Carlos Rosario,2021,2023,2,101.47290028688009,20.57823661651962,0.20279539225095233,0.1883360477551255,0.31697439139527805,0.8093723312841048,0.060000000000000046,0.2470084298309586
Dakiti,2016,2018,2,59.19700918040334,182.43124268413095,3.0817645217205203,0.17895476127989338,0.3035820663476808,0.3804247460757157,0.7989543816351091,1.5625162183853922
Dakiti,2016,2021,5,59.19700918040334,23.71007576001366,0.40052827141582475,0.14613562632519897,0.25500581775604825,0.8214285714285714,0.5541602395751052,0.9883082268467461
Dakiti,2016,2023,7,59.19700918040334,44.01027762859654,0.7434544115983103,0.1700619721995513,0.2906888288658058,0.7465986394557823,0.659156827115405,1.0842023549743545
