YEAR,i,hv_size,corallite.diameter,growth.rate,skeletal.density,symbiodinium.density,colony.maximum.diameter
2016,1,1315.2256217602699,0.4995191994509922,0.5373375157822371,-0.29508823804881107,-0.39385868825146614,0.07131771902697678
2016,2,1169.866301169759,0.16514559016019267,0.4672962178481694,-0.023594158858409518,-0.35370041624554893,0.043740230156614025
2016,3,1237.4532522746638,0.22270443719039182,0.5753515828797933,-0.09964153333887404,-0.34040408179656945,-0.008850554850846133
2016,4,1155.4859255867061,0.48635908042708087,0.1748662185025489,-0.23104320177353274,-0.43698744828861813,0.04791138919164306
2016,5,1320.4313872227406,0.3703805706251151,0.5610293393501584,-0.20717627318658857,-0.4196038345868638,-0.04934318575158167
2016,6,1114.4143573816734,0.52893592307787,0.24956473531128454,-0.2659749504573333,-0.35234553932607876,0.15059425031846724
2016,7,1146.9451454268649,0.7038865271714675,0.17704479137126808,-0.3926508255719429,-0.42007540315893793,0.2329570309557002
2016,8,1193.3464580384377,0.5520912122042196,-0.003495102863822332,-0.2461412371619328,-0.5023657612370291,0.12084678485893906
2016,9,1180.8123782819935,0.3639296678525849,0.3181860523435433,-0.17363117892536278,-0.38159783775817185,0.036729644900933604
2016,10,1137.8027899647443,0.6306081643430241,-0.1802097975220072,-0.26086043227550343,-0.5186095486179269,0.2786693962280509
2016,11,1152.9178487781112,0.8614326919326488,-0.014372514477608943,-0.5391417395024077,-0.4932495918177128,0.06261655119680984
2016,12,1303.3511943916374,0.3662338316900403,0.3355339207013401,-0.09811208704400882,-0.48908805222911594,0.06797152204222175
2016,13,1125.9540821412995,0.3163959447796289,0.22243391603630266,-0.10259326356629485,-0.3904251692906075,0.013071916153410216
2016,14,1187.845932683958,0.4096799035337912,0.4554947751735585,-0.20582984587187808,-0.3626398106899032,0.0041853130920627285
2016,15,1275.4998154594346,0.4421074186905779,0.2745542378844698,-0.18856826313976188,-0.4837706230913106,0.10352155085778737
2016,16,1281.0765128212704,0.42762064656154486,0.5556499346237996,-0.26119478568093957,-0.4135061245078413,0.046623027663052645
2016,17,1289.2934826419098,0.5047696990465286,0.43991366998152964,-0.3187345373100042,-0.42620162182375027,0.009680489592218837
2016,18,1268.94134014306,0.7724535260917798,-0.05300864220646411,-0.4102733616769075,-0.5631515665744362,0.20798939186412108
2016,19,1199.4172612032414,0.7502534588877596,0.18250722693396598,-0.4035556841649614,-0.4846722607320166,0.2601354345982126
2016,20,1172.9459112136162,0.7389549461586759,0.03366814328782645,-0.36436999642137,-0.48824863851313655,0.23323281408249055
2016,21,1199.6091781255845,0.6776144165941625,0.01495348225112293,-0.3155606717516643,-0.5177917691414913,0.2912013292100832
2016,22,1199.9748879654985,0.5041259293634911,0.21189762215136154,-0.23605484774293894,-0.4495308657080752,0.180771492265744
2016,23,1322.718298296001,0.5555149339921737,0.2562487512034281,-0.261840915590909,-0.5047231607371875,0.22378168078542615
2016,24,1201.8372363454162,0.2848526415062712,0.3427132880836799,-0.10562144942976427,-0.3911533129524667,0.0946123813686546
2016,25,1181.2248657302239,0.7369407177447223,0.18084007454939843,-0.38525135386515846,-0.46043597633328565,0.2576898689556724
2016,26,959.5318012338214,0.3879122562805777,-0.07477896541942594,-0.16296995336578937,-0.30465429854950243,0.12225101340518087
2016,27,1134.992968520874,0.5964898859988934,-0.22697423202614558,-0.237305448349174,-0.520457875391256,0.19045435983256656
2016,28,1311.6809773897348,0.5999025870101371,0.28543071555119776,-0.30300661933124307,-0.511327789866308,0.15371940865460168
2016,29,1222.0963669680034,0.5198885926357366,0.19181000720202365,-0.2366409234205874,-0.4800335850466387,0.15013582684887358
2016,30,1194.8177001529962,0.6843908580265865,0.25190581207101476,-0.4239062002493736,-0.4220708098852056,0.05976451937700357
2016,31,1086.4285401646353,0.45983362025844676,-0.1730357828611083,-0.14834424920837447,-0.49505551391106817,0.22091879644143794
2016,32,1241.8250201668534,0.6130640263011654,0.2413575823683981,-0.3174094580736329,-0.4665701267520459,0.17606930468563148
2016,33,1140.2205277665948,0.5083866763690346,-0.1626641313743838,-0.12507957823526963,-0.5258249614416204,0.26659330322636426
2016,34,1304.8513048041257,0.4975733002424729,0.528952079504084,-0.21496631196108823,-0.517076484827388,0.22686181590631377
2016,35,1336.1162863837646,0.6799561210737665,0.26822421326753165,-0.3671862732727694,-0.5235650034271742,0.22179714409849474
2016,36,1159.7606466995546,0.5140461030331998,0.013745295503530234,-0.19196435651473281,-0.45981556334831497,0.2290848163913449
2016,37,1231.4643534126556,0.616149140935253,0.18416606008280567,-0.3451585532873806,-0.46853196882127657,0.2027764988537474
2016,38,1244.7599000126793,0.5962391314805205,0.12879305316637452,-0.2624152721542584,-0.5044880230113945,0.21847743434072267
2016,39,1226.2690788021753,0.7742481553690751,0.31317296196800515,-0.4563690737184666,-0.5340204082833476,0.20152330112556846
2016,40,1244.5000277162076,0.587593007817944,0.2851381229350102,-0.29204285349115655,-0.473462685234823,0.22786286320989893
2016,41,1186.6633373805114,0.18282803039525564,0.307098735125918,0.023123762202953584,-0.402932666897535,-0.0019256061137713021
2016,42,1253.1449121561861,0.6275392765334289,0.45173214444857157,-0.39733818604136717,-0.41149909515029887,0.03382301638448769
2016,43,1296.302166327959,0.3715156718704552,0.3757230947606933,-0.1318986490914501,-0.4815589985641949,0.19015517086043446
