Taxon,RedList,DestrCrit,PopRed,PopRedBack,GenLength,UpperDepth,LowerDepth,DepthRange,DepthRange20,GenGlobAbd,ResFragRange,OffReef,SuscBleaching,ResistBleaching,SuscDisease,ResistDisease,Recover,SuscCoTs,Collection1000
POR_Goniopora_fruticosa,LC,De,0.22,0.1,10,5,25,20,1,uncommon,0,0,1,0,0,1,0,0,0
POR_Goniopora_lobata,NT,De,0.21,0.09,10,0.5,30,29.5,0,common,0,0,1,0,0,1,0,0,1
POR_Goniopora_minor,NT,De,0.2,0.09,10,0.5,30,29.5,0,common,0,0,1,0,0,1,0,0,1
POR_Goniopora_norfolkensis,LC,De,0.2,0.09,10,1,30,29,0,uncommon,0,0,1,0,0,1,0,0,0
POR_Goniopora_palmensis,LC,De,0.23,0.1,10,1,20,19,1,common,0,0,1,0,0,1,0,0,0
POR_Goniopora_pandoraensis,LC,De,0.22,0.1,10,1,20,19,1,uncommon,0,0,1,0,0,1,0,0,0
POR_Goniopora_pearsoni,LC,De+Cr,0.06,0.06,10,NA,NA,NA,NA,common,1,0,1,0,0,1,0,0,0
POR_Goniopora_pendulus,LC,De,0.23,0.1,10,1,20,19,1,uncommon,0,0,1,0,0,1,0,0,0
POR_Goniopora_planulata,VU,De,0.32,0.14,10,2,20,18,1,uncommon,0,0,1,0,0,1,0,0,0
POR_Goniopora_polyformis,VU,De,0.37,0.16,10,NA,NA,NA,NA,rare,0,0,1,0,0,1,0,0,0
POR_Goniopora_savignyi,LC,De+Cr,0.06,0.06,10,3,20,17,1,uncommon,0,0,1,0,0,1,0,0,0
POR_Goniopora_somaliensis,LC,De,0.2,0.09,10,0.5,30,29.5,0,uncommon,0,0,1,0,0,1,0,0,0
POR_Goniopora_stokesi,NT,De,0.2,0.09,10,2,30,28,0,uncommon,0,1,1,0,0,1,0,0,1
POR_Goniopora_stutchburyi,LC,De,0.21,0.09,10,1,30,29,0,uncommon,0,0,1,0,0,1,0,0,0
POR_Goniopora_sultani,LC,De+Cr,0.06,0.06,10,3,20,17,1,uncommon,1,0,1,0,0,1,0,0,0
POR_Goniopora_tenella,NT,De,0.24,0.1,10,3,20,17,1,rare,0,0,1,0,0,1,0,0,0
POR_Goniopora_tenuidens,LC,De,0.21,0.09,10,2,30,28,0,common,0,1,1,0,0,1,0,0,0
POR_Machadoporites_tantillus,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POR_Porites_annae,NT,De,0.22,0.09,10,0.5,30,29.5,0,common,0,0,0,1,1,0,0,0,1
POR_Porites_aranetai,VU,De+Cr,0.43,0.17,10,2,20,18,1,uncommon,0,0,1,0,1,0,0,0,1
POR_Porites_arnaudi,LC,De+Cr,0.04,0.09,10,7,37,30,0,common,0,0,0,1,1,0,0,0,0
POR_Porites_astreoides,LC,De,0.1,0.21,10,0.2,70,69.8,0,common,0,1,0,0,0,0,1,0,0
POR_Porites_attenuata,VU,De+Cr,0.36,0.14,10,2,20,18,1,common,0,0,1,0,1,0,0,0,1
POR_Porites_australiensis,LC,De,0.21,0.1,10,1,20,19,1,common,0,0,0,1,1,0,0,0,1
POR_Porites_baueri,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POR_Porites_bernardi,LC,De+Cr,0.1,0.09,10,NA,NA,NA,NA,uncommon,1,0,0,1,1,0,0,0,0
POR_Porites_branneri,NT,De,0.15,0.21,10,0,3,3,1,uncommon,0,1,0,1,1,0,0,0,0
POR_Porites_brighami,LC,De+Cr,0.03,0.09,10,NA,NA,NA,NA,common,1,0,0,1,1,0,0,0,0
POR_Porites_cocosensis,VU,De,0.37,0.16,10,NA,NA,NA,NA,common,0,0,0,1,1,0,0,0,1
POR_Porites_colonensis,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POR_Porites_columnaris,LC,De+Cr,0.14,0.08,10,0,15,15,1,uncommon,1,0,0,1,1,0,0,0,0
POR_Porites_compressa,LC,De+Cr,0.03,0.09,10,0,30,30,0,common,1,0,0,1,1,0,0,0,0
POR_Porites_cumulatus,VU,De+Cr,0.41,0.16,10,2,20,18,1,uncommon,0,0,0,1,1,0,0,0,0
POR_Porites_cylindrica,NT,De,0.21,0.1,10,1,20,19,1,common,0,0,1,0,1,0,0,0,1
POR_Porites_decasepta,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POR_Porites_deformis,NT,De,0.19,0.09,10,0.5,30,29.5,0,uncommon,0,0,0,1,1,0,0,0,1
POR_Porites_densa,NT,De,0.19,0.09,10,1,20,19,1,uncommon,0,0,0,1,1,0,0,0,1
POR_Porites_desilveri,EN,De+Cr,0.55,0.24,10,NA,NA,NA,NA,common,1,0,0,1,1,0,0,0,0
POR_Porites_divaricata,LC,De,0.1,0.21,10,0.1,47,46.9,0,common,0,0,0,1,1,0,0,0,0
POR_Porites_duerdeni,LC,De+Cr,0.03,0.09,10,NA,NA,NA,NA,rare,1,0,0,1,1,0,0,0,0
POR_Porites_echinulata,NT,De,0.23,0.11,10,1,20,19,1,common,1,0,0,1,1,0,0,0,0
POR_Porites_ericacea,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POR_Porites_eridani,EN,De+Cr,0.58,0.22,10,2,20,18,1,uncommon,0,0,0,1,1,0,0,0,1
POR_Porites_evermanni,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POR_Porites_excavata,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POR_Porites_flavus,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POR_Porites_furcata,LC,De,0.1,0.21,10,0.2,50,49.8,0,common,0,1,0,1,1,0,0,0,0
POR_Porites_harrisoni,NT,De+Cr,0.23,0.15,10,1,15,14,1,common,1,0,0,1,1,0,0,0,0
POR_Porites_heronensis,LC,De+Cr,0.11,0.06,10,1,20,19,1,rare,0,0,0,1,1,0,0,0,0
POR_Porites_horizontalata,VU,De+Cr,0.37,0.15,10,5,20,15,1,uncommon,0,0,1,0,1,0,0,0,1
POR_Porites_latistella,LC,De,0.19,0.09,10,1,20,19,1,uncommon,0,0,0,1,1,0,0,0,0
POR_Porites_lichen,LC,De,0.2,0.09,10,1,30,29,0,common,0,0,0,1,1,0,0,0,1
POR_Porites_lobata,NT,De,0.2,0.09,10,0,30,30,0,common,0,0,0,1,1,0,0,0,1
POR_Porites_lutea,LC,De,0.2,0.09,10,0,30,30,0,common,0,0,0,1,1,0,0,0,1
POR_Porites_mayeri,LC,De,0.22,0.1,10,3,20,,1,uncommon,0,0,0,1,1,0,0,0,1
POR_Porites_monticulosa,LC,De,0.18,0.09,10,3,20,17,1,common,0,0,0,1,1,0,0,0,1
POR_Porites_murrayensis,NT,De,0.2,0.09,10,0,5,5,1,uncommon,0,0,0,1,1,0,0,0,1
POR_Porites_myrmidonensis,LC,De+Cr,0.1,0.05,10,3,20,17,1,uncommon,1,0,0,1,1,0,0,0,0
POR_Porites_napopora,VU,De,0.33,0.15,10,3,15,12,1,uncommon,0,0,0,1,1,0,0,0,1
POR_Porites_negrosensis,NT,De,0.23,0.1,10,2,15,13,1,uncommon,0,0,0,1,1,0,0,0,1
POR_Porites_nigrescens,VU,De+Cr,0.35,0.14,10,0.5,20,19.5,1,uncommon,0,0,0,1,1,0,0,0,1
POR_Porites_nodifera,LC,De,0.27,0.1,10,5,15,10,1,common,1,0,0,1,1,0,0,0,0
POR_Porites_okinawensis,VU,De+Cr,0.37,0.24,10,NA,NA,NA,NA,uncommon,1,0,0,1,1,0,0,0,0
POR_Porites_ornata,EN,De+Cr,0.66,0.24,10,3,15,12,1,uncommon,0,0,1,0,1,0,0,0,1
POR_Porites_panamensis,LC,De,0.1,0.03,10,0,36,36,0,common,0,0,0,1,1,0,0,0,0
POR_Porites_porites,LC,De,0.1,0.21,10,0.5,35,34.5,0,common,0,1,0,1,1,0,0,0,0
POR_Porites_profundus,LC,De,0.19,0.09,10,3,15,12,1,uncommon,0,0,0,1,1,0,0,0,0
POR_Porites_pukoensis,CR,D,NA,NA,NA,NA,NA,NA,NA,rare,1,0,0,1,1,0,0,0,0
POR_Porites_randalli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POR_Porites_rugosa,VU,De+Cr,0.41,0.15,10,3,15,12,1,uncommon,0,0,1,0,1,0,0,0,1
POR_Porites_rus,LC,De,0.2,0.09,10,1,20,19,1,common,0,0,0,1,1,0,0,0,1
POR_Porites_sillimaniana,VU,De+Cr,0.39,0.15,10,1,5,4,1,uncommon,0,0,1,0,1,0,0,0,1
POR_Porites_solida,LC,De,0.2,0.09,10,1,30,29,0,common,0,0,0,1,1,0,0,0,1
POR_Porites_somaliensis,NT,De+Cr,0.22,0.08,10,1,20,19,1,rare,1,0,0,1,1,0,0,0,0
POR_Porites_stephensoni,NT,De,0.2,0.09,10,0,5,5,1,uncommon,0,0,0,1,1,0,0,0,1
POR_Porites_studeri,LC,De+Cr,0.1,0.09,10,10,40,30,0,rare,1,0,0,1,1,0,0,0,0
POR_Porites_sverdrupi,VU,De+Cr,0.34,0.11,10,1,40,39,0,rare,1,0,0,1,1,0,0,0,0
POR_Porites_tuberculosa,VU,De+Cr,0.41,0.15,10,1,20,19,1,uncommon,0,0,1,0,1,0,0,0,1
POR_Porites_vaughani,LC,De,0.21,0.09,10,1,40,39,0,uncommon,0,0,0,1,1,0,0,0,1
POR_Poritipora_paliformis,VU,De,0.34,0.15,10,5,15,10,1,rare,0,0,0,0,0,0,0,0,0
POR_Stylaraea_punctata,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RHI_Astrangia_poculata,LC,A2,NA,NA,10,NA,NA,NA,NA,common,0,1,0,0,0,0,0,0,0
SID_Anomastraea_irregularis,VU,De+Cr,0.38,0.18,10,0,20,20,1,uncommon,0,0,0,0,0,0,0,1,0
SID_Coscinaraea_columna,LC,De,0.2,0.09,10,5,30,25,0,common,0,0,0,0,0,0,0,0,0
SID_Coscinaraea_crassa,NT,De,0.19,0.09,10,10,30,20,1,rare,0,0,0,0,0,0,0,0,0
SID_Coscinaraea_exesa,LC,De,0.19,0.09,10,0,35,35,0,common,0,0,0,0,0,0,0,0,0
SID_Coscinaraea_hahazimaensis,VU,B,NA,NA,NA,NA,NA,NA,NA,rare,1,0,0,0,0,0,0,0,0
SID_Coscinaraea_marshae,LC,De+Cr,0.05,0.03,10,NA,NA,NA,NA,uncommon,0,0,0,0,0,0,0,0,0
SID_Coscinaraea_mcneilli,LC,De+Cr,0.05,0.03,10,NA,NA,NA,NA,uncommon,0,0,0,0,0,0,0,0,0
SID_Coscinaraea_monile,LC,De,0.24,0.1,10,0,52,52,0,common,0,0,0,0,0,0,0,0,0
SID_Coscinaraea_wellsi,LC,De,0.2,0.09,10,10,50,40,0,uncommon,0,0,0,0,0,0,0,0,0
SID_Craterastrea_levis,LC,De+Cr,0.18,0.07,10,30,70,40,0,common,1,0,0,0,0,0,0,0,0
SID_Horastrea_indica,VU,De+Cr,0.45,0.12,10,0,20,20,1,uncommon,1,0,0,0,0,0,0,0,0
SID_Psammocora_albopicta,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SID_Psammocora_contigua,NT,De,0.2,0.09,10,0,30,30,0,common,0,0,1,0,0,0,0,0,0
SID_Psammocora_decussata,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SID_Psammocora_digitata,NT,De,0.21,0.1,10,1,20,19,1,common,0,0,1,0,0,0,0,0,0
SID_Psammocora_explanulata,LC,De,0.2,0.09,10,5,30,25,0,common,0,0,0,0,0,0,0,0,0
SID_Psammocora_haimeana,LC,De,0.2,0.09,10,0,40,40,0,common,0,0,0,0,0,0,0,0,0
SID_Psammocora_interstinctus,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SID_Psammocora_nierstraszi,LC,De,0.2,0.09,10,1,30,29,0,common,0,0,0,0,0,0,0,0,0
SID_Psammocora_obtusangula,NT,De,0.19,0.09,10,0,4,4,1,uncommon,0,0,1,0,0,0,1,0,0
SID_Psammocora_profundacella,LC,De,0.2,0.09,10,1,30,29,0,common,0,0,0,0,0,0,0,0,0
SID_Psammocora_ramosa,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SID_Psammocora_stellata,VU,De,0.32,0.14,10,0,20,20,1,uncommon,1,1,0,0,0,0,0,1,0
SID_Psammocora_superficialis,LC,De,0.18,0.08,10,2,30,28,0,common,0,1,1,0,0,0,1,1,0
SID_Psammocora_vaughani,NT,De+Cr,0.2,0.11,10,8,20,12,1,rare,0,0,0,0,0,0,0,0,0
SID_Psammocora_verrilli,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SID_Pseudosiderastrea_formosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SID_Pseudosiderastrea_tayami,NT,De,0.21,0.09,10,8,20,12,1,uncommon,0,1,0,0,0,0,0,0,0
SID_Siderastrea_glynni,CR,B,NA,NA,NA,7,8.5,1.5,1,rare,1,0,1,0,0,0,0,0,0
SID_Siderastrea_radians,LC,De,0.1,0.21,10,0,3,3,1,common,0,1,0,0,0,0,0,0,0
SID_Siderastrea_savignyana,LC,De,0.27,0.12,10,1,10,9,1,uncommon,0,1,0,0,0,0,0,0,0
SID_Siderastrea_siderea,LC,De,0.1,0.21,10,0,70,70,0,common,0,0,1,0,0,0,1,0,0
SID_Siderastrea_stellata,DD,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRC_Trachyphyllia_geoffroyi,NT,De,0.22,0.1,10,2,40,38,0,uncommon,0,1,0,0,0,0,0,0,1
