Taxon,RedList,DestrCrit,PopRed,PopRedBack,GenLength,UpperDepth,LowerDepth,DepthRange,DepthRange20,GenGlobAbd,ResFragRange,OffReef,SuscBleaching,ResistBleaching,SuscDisease,ResistDisease,Recover,SuscCoTs,Collection1000
MER_Hydnophora_pilosa,LC,De,0.2,0.09,10,5,30,25,0,uncommon,0,0,0,0,0,0,0,0,0
MER_Hydnophora_rigida,LC,De,0.21,0.1,10,0,40,40,0,common,0,0,0,0,0,0,0,0,1
MER_Merulina_ampliata,LC,De,0.2,0.09,10,0,50,50,0,common,0,0,0,0,0,0,0,0,1
MER_Merulina_scabricula,LC,De,0.21,0.1,10,1,40,39,0,common,0,0,0,0,0,0,0,0,1
MER_Merulina_scheeri,LC,De+Cr,0.06,0.06,10,2,45,43,0,common,1,0,0,0,0,0,0,0,0
MER_Paraclavarina_triangularis,NT,De,0.19,0.09,10,3,20,17,1,uncommon,0,0,0,0,0,0,0,0,0
MER_Scapophyllia_cylindrica,LC,De,0.22,0.1,10,2,25,23,0,uncommon,0,0,0,0,0,0,0,0,0
MUS_Acanthastrea_bowerbanki,VU,De+Cr,0.36,0.14,10,2,20,18,1,rare,0,0,0,0,0,0,0,1,0
MUS_Acanthastrea_brevis,VU,De+Cr,0.36,0.14,10,1,20,19,1,uncommon,0,0,0,0,0,0,0,1,0
MUS_Acanthastrea_echinata,LC,De,0.2,0.09,10,0,50,50,0,common,0,0,0,0,0,0,0,0,1
MUS_Acanthastrea_faviaformis,VU,De+Cr,0.34,0.13,10,2,12,10,1,uncommon,0,0,0,0,0,0,0,0,0
MUS_Acanthastrea_hemprichii,VU,De+Cr,0.35,0.14,10,2,20,18,1,uncommon,0,0,0,0,0,0,0,0,0
MUS_Acanthastrea_hillae,NT,De,0.19,0.09,10,2,20,18,1,common,0,0,0,0,0,0,0,0,0
MUS_Acanthastrea_ishigakiensis,VU,De+Cr,0.34,0.14,10,1,15,14,1,uncommon,0,0,0,0,0,0,0,0,0
MUS_Acanthastrea_lordhowensis,NT,De,0.19,0.09,10,1,30,29,0,uncommon,0,0,0,0,0,0,0,0,0
